n_I,n_II,n_III,n_IV,n_V,n_s,m_R,m_NR,n_c,n_v,dm_R,dm_NR,Time (s)
89.05978238808156,681435.2704511199,697092.1100504891,697275.8657454032,697282.7971267157,697282.8620491296,3143292.347305128,327168.5663947809,2.9484946586442704,3.2302595514909313e-09,92.67980696586582,0.009646547704913149,141.0
90.10502729430723,680126.7105311711,697376.8843243576,697583.7083018626,697591.5629961478,697591.6382886659,3143195.284635461,327168.55629187543,3.231457832945863,3.772648319146826e-09,101.57103023013764,0.010572313939229704,142.0
91.13746320570453,678693.767441951,697688.2974616557,697920.9563545445,697929.8521340145,697929.9393932575,3143088.944370886,327168.5452229397,3.5393451933386326,4.4028095648343265e-09,111.24476747494893,0.011579624179464046,143.0
92.15522595056375,677125.6268057759,698028.6048095071,698290.1824420975,698300.2514700844,698300.3525296004,3142972.5142556345,327168.5331033235,3.87407593977915,5.134413753521068e-09,121.76114196864935,0.012674757423484239,144.0
93.15623654067325,675410.6600138491,698400.2227813363,698694.1550770559,698705.545600072,698705.6625643767,3142845.120109004,327168.5198419078,4.237677679397233,5.9831563024086e-09,133.18364615288445,0.013864347339354835,145.0
94.13818984068638,673536.3841194888,698805.7353864068,699135.8487635121,699148.7269844204,699148.8622675148,3142705.822657655,327168.50534077146,4.632287242625069,6.967099231708667e-09,145.5791608962058,0.015155384934787675,146.0
95.09854186373252,671489.418537654,699247.9009898428,699618.4548887704,699633.0070556075,699633.1634249141,3142553.6140914126,327168.48949482694,5.060147587242458,8.106939242717686e-09,159.01785088124728,0.01655520842739008,147.0
96.0344964844052,669255.4444289495,699729.658160896,700145.3920676295,700161.8267988318,700162.0074252179,3142387.414791864,327168.4721914744,5.523605330433351,9.42643569721421e-09,173.5730787463102,0.018071495169465636,148.0
96.94299185236015,666819.1673974249,700254.1304752327,700720.3157914646,700738.8666576622,700739.0751722095,3142206.070280374,327168.453310277,6.025104808022454,1.0952816596835721e-08,189.32120901843626,0.0197122422107302,149.0
97.82068624942673,664164.2830812719,700824.6302036496,701347.1275220761,701368.055915905,701368.2964744119,3142008.3483409826,327168.432722654,6.567180077238558,1.2717270346262432e-08,206.3413462774213,0.02148574013277577,150.0
98.66394413892944,661273.447240366,701444.6605064757,702029.9828607269,702053.5811871481,702053.8585434174,3141792.936434667,327168.4102916025,7.152444003758341,1.4755494319913888e-08,224.71498049252446,0.02340053734409321,151.0
99.46882173259853,658128.2512375376,702117.9157305888,702773.2986352153,702799.8938685886,702800.2134579794,3141558.439454026,327168.38587145315,7.783573846732871,1.7108322633404227e-08,244.5255210731729,0.025465392917468507,152.0
100.23105460003467,654709.2075547363,702848.2791988599,703581.7577075972,703611.7153307332,703612.083364648,3141303.378196532,327168.3593077001,8.4632930698031,1.9822426649216122e-08,265.8577111083978,0.02768921707987709,153.0
